18
Catalina Salvio Vidal Santana 
Leandro Josefina Bravo Nunez 
Atanasio Rufo Ibanez Duran 
Gabriel Encarnacion Aguilar Rubio 
Leoncio Porfirio Alonso Marquez 
Narciso Ezequiel Lopez Santiago 
Julia Monica Navarro Sanz 
Nieves Ivan Mora Blesa 
Ismael Teodosia Carmona Cambil 
Leopoldo Noe Moya Perez 
Bonifacio Damaso Munoz Cortes 
Cesareo Marc Pastor Caballero 
Xavier Maria Saez Morales 
Abrahan Felix Soler Navarro 
Narciso Felix Fernandez Cortes 
Poncio Romualdo Mendez Mora 
Marcial Primo Munoz Rubio 
Albina Francesc Herrera Esteban 
